11:24,,,17-Jun,,,,"Invested:
",,"4,600,370",12,,,"33,776",,,"31,919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,30,DH,Date,Pos,Qty,EP,CMP,%Chan,Inv.,TP,TVA,TPR,PL,ED,EXP,PR,PP,IV,IP,NT,Qt,7,%Ch,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46
MID150BEES,#N/A,#N/A,22-Nov-2024,1,200,227.02,222.19,-2.13%,45404,254.26,50852,"₹5,448",-966,,,,,147000,3.20,2,660.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITETF,#N/A,#N/A,13-Dec-2024,1,500,47.13,40.74,-13.56%,23565,52.79,26393,"₹2,828","-3,195",,,,,340662,7.41,4,7600.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMBEES,#N/A,#N/A,20-Dec-2024,0,700,124,126.92,0.00%,,,,,,2-Jan-2025,127.83,2681,3.1,261010,5.67,4,2082.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,16-Dec-2024,0,1100,86.85,103.65,0.00%,,,,,,30-Jan-2025,88.49,1804,1.9,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILVERBEES,#N/A,#N/A,22-Nov-2024,0,607,93,103.65,,,,,,,14-Feb-2025,93.3,182.1,0.3,102100,2.22,1,1000.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDBEES,#N/A,#N/A,22-Nov-2024,0,800,66,82.61,0.00%,,,,,,28-Jan-2025,67.5,1200,2.3,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDBEES,#N/A,#N/A,16-Dec-2024,0,1560,64.25,82.61,0.00%,,,,,,10-Jan-2025,65.87,2527.2,2.5,0,0.00,0,0.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMCGIETF,#N/A,#N/A,16-Dec-2024,1,1600,59.73,58.3,-2.39%,95568,66.90,107036,"₹11,468","-2,288",,,,,708561,15.40,7,11950.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNIORBEES,#N/A,#N/A,16-Dec-2024,1,50,780.32,722.72,-7.38%,39016,873.96,43698,"₹4,682","-2,880",,,,,364507,7.92,5,500.0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
